Epoch,step,lr,loss,acc
1,0,0.0005,132.719,0.0408163265306
2,0,0.0005,2.45371,0.24081632645
3,0,0.0005,1.45921,0.45714285717
4,0,0.0005,0.779329,0.61519274371
5,0,0.0005,0.397827,0.714739228998
6,0,0.0004,0.257226,0.778911564491
7,0,0.0004,0.186154,0.825396825478
8,0,0.0004,0.165212,0.839229025295
9,0,0.0004,0.0793855,0.875056689667
10,0,0.0004,0.0384834,0.879365079446
11,0,0.00032,0.0557085,0.882766439531
12,0,0.00032,0.104431,0.893424036173
13,0,0.00032,0.0760331,0.900680272433
14,0,0.00032,0.0696725,0.918140589623
15,0,0.00032,0.0267186,0.903174602958
