Epoch,step,lr,loss,acc
1,0,0.0005,5.7529,0.0387755102379
1,102400,0.0005,0.211689,0.792063491901
1,204800,0.0005,0.0797755,0.864399094971
1,307200,0.0005,0.0763411,0.891156461423
2,0,0.0005,0.0483417,0.898866211503
2,102400,0.0005,0.0236043,0.901814059957
2,204800,0.0005,0.0150708,0.910884353687
2,307200,0.0005,0.0113818,0.914058958457
3,0,0.0005,0.0127667,0.926303854281
3,102400,0.0005,0.00277611,0.934467122263
3,204800,0.0005,0.00866148,0.928798188022
3,307200,0.0005,0.0129341,0.93764172541
4,0,0.0005,0.0232407,0.940589570188
4,102400,0.0005,0.0109028,0.942630383866
4,204800,0.0005,0.00312914,0.944671201219
4,307200,0.0005,0.00610734,0.936961452274
5,0,0.0005,0.0127128,0.950113377577
5,102400,0.0005,0.0179939,0.951020406541
5,204800,0.0005,0.00437654,0.95170068184
5,307200,0.0005,0.00877191,0.953061223409
6,0,0.0004,0.00332061,0.943310656488
6,102400,0.0004,0.00500012,0.959183673983
6,204800,0.0004,0.00742498,0.944217685426
6,307200,0.0004,0.00227014,0.951247166046
7,0,0.0004,0.00262789,0.944897960752
7,102400,0.0004,0.000164868,0.945351473355
7,204800,0.0004,0.0012711,0.957823128711
7,307200,0.0004,0.00300019,0.960090704516
8,0,0.0004,0.00420393,0.955555555529
8,102400,0.0004,0.00511117,0.953514738661
8,204800,0.0004,0.0165152,0.953968252887
8,307200,0.0004,0.00387925,0.947165532853
9,0,0.0004,0.00321881,0.949206348098
9,102400,0.0004,0.000616749,0.960090703975
9,204800,0.0004,0.0033933,0.958503402388
9,307200,0.0004,0.00569805,0.964172336628
10,0,0.0004,0.000565303,0.962585032392
10,102400,0.0004,0.00046846,0.958276643964
10,204800,0.0004,0.000317129,0.965986392936
10,307200,0.0004,0.00127479,0.957823129738
11,0,0.00032,0.00015188,0.960317461345
11,102400,0.00032,0.00657135,0.957596371341
11,204800,0.00032,0.00102323,0.962585034527
11,307200,0.00032,0.0010223,0.957369614485
12,0,0.00032,0.000542201,0.956462584493
12,102400,0.00032,0.00108414,0.959863946092
12,204800,0.00032,0.00659708,0.963718821916
12,307200,0.00032,0.00275189,0.959637188182
13,0,0.00032,0.000550124,0.964399092403
13,102400,0.00032,0.000939562,0.963038548185
13,204800,0.00032,0.000954215,0.9662131519
13,307200,0.00032,0.00312874,0.960770977165
14,0,0.00032,0.00115713,0.96439909243
14,102400,0.00032,0.00518379,0.964399094538
14,204800,0.00032,0.000690938,0.964399092403
14,307200,0.00032,0.0225436,0.962131519788
15,0,0.00032,0.000763844,0.95827664291
15,102400,0.00032,0.0106577,0.964399093484
15,204800,0.00032,0.00327936,0.964625851394
15,307200,0.00032,0.00385269,0.968934240876
